id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C3671,Fassi,Ahmed,ahmed.fassi454@outlook.com,1949-08-01,m,Fès,0663947088,2020-07-22,TikTok
C0433,Rahmani,Meryem,meryem.rahmani345@hotmail.com,2007-08-14,femme,CAS,0677731571,2020-11-27,Instagram
C3434,Fassi,Mehdi,mehdi.fassi348@yahoo.fr,1965-04-10,Homme,sale,0689965549,2023-12-04,Référencement
C5149,Tazi,Zakaria,zakaria.tazi474@hotmail.com,1982-04-03,Homme,Meknès,0655758595,2025-11-09,Facebook
C1450,Benkirane,Houda,houda.benkirane47@outlook.com,1972-03-01,femme,el jadida,0674187587,2023-11-07,Facebook
C0981,Idrissi,Hamza,hamza.idrissi538@hotmail.com,1977-03-28,m,Marrakech,0632364538,2021-04-14,Instagram
C4370,Chraibi,Hanane,hanane.chraibi212@gmail.com,1989-01-26,F,TET,0690809333,2021-09-19,Bouche-à-oreille
C2370,Bouzid,Khalid,khalid.bouzid137@gmail.com,1958-11-22,H,kenitra,0672310967,2021-10-12,Bouche-à-oreille
C3757,Filali,Amine,amine.filali624@gmail.com,1968-04-17,1,NAD,0626279114,2025-07-12,Bouche-à-oreille
C1219,Mernissi,Salma,salma.mernissi191@outlook.com,1945-12-12,female,CASA,0628275660,2023-01-27,Email Marketing
C2852,Regragui,Samir,samir.regragui395@yahoo.fr,2001-04-10,1,tetouan,0642700856,2025-06-02,TikTok
C4601,Alaoui,Brahim,brahim.alaoui310@email.ma,1943-05-22,H,MOH,0671453815,2025-01-19,Bouche-à-oreille
C1026,Sabri,Hamza,hamza.sabri482@yahoo.fr,1956-03-24,M,Salé,0610709540,2025-09-08,Bouche-à-oreille
C1318,Mansouri,Reda,reda.mansouri571@outlook.com,1942-06-28,homme,Fes,0660584537,2021-02-13,Facebook
C1444,Tahiri,Ilyas,ilyas.tahiri328@outlook.com,1983-06-24,h,El Jadida,0620248868,2020-03-18,Référencement
C2300,Chaoui,Wiam,wiam.chaoui127@yahoo.fr,1949-01-20,female,nador,0688876266,2021-02-13,Email Marketing
C0361,Rahmani,Reda,reda.rahmani477@email.ma,1951-04-16,M,RBT,0695052118,2025-11-03,TikTok
C4420,Mansouri,Khalid,khalid.mansouri645@gmail.com,1964-11-06,1,Salé,0629473281,2021-07-25,Instagram
C4457,Tahiri,Zineb,zineb.tahiri95gmail.com,1955-10-24,femme,BNM,0647211929,2021-07-03,Référencement
C3425,Lahlou,Youssef,youssef.lahlou894@hotmail.com,1979-07-23,h,Agadir,0649246370,2023-05-17,Google Ads
C1974,Mansouri,Samir,samir.mansouri14@yahoo.fr,1976-04-17,M,oujda,0687881596,2025-01-01,Google Ads
