id_client_sk,id_client_nk,nom_complet,tranche_age,sexe,ville,region_admin,segment_client,canal_acquisition,date_debut,date_fin,est_actif
1,C4001,Fatima Benkirane,45-54,f,Tanger,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
2,C2996,Salma Mansouri,65+,f,Rabat,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
3,C4499,Aicha Naciri,35-44,f,Meknès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
4,C1389,Sara Regragui,65+,f,Kénitra,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
5,C1006,Amine Hakimi,35-44,m,Béni Mellal,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
6,C3906,Ahmed Guessous,65+,m,Meknès,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
7,C1581,Adil Mansouri,55-64,m,Agadir,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
8,C4861,Noura Bennani,65+,f,Meknès,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
9,C3146,Hanane Tazi,45-54,f,Agadir,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
10,C4608,Nadia Fassi,45-54,f,El Jadida,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
11,C3297,Khalid Guessous,65+,m,Rabat,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
12,C4501,Fatima Regragui,45-54,f,Béni Mellal,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
13,C0366,Sara El Khoury,35-44,f,Nador,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
14,C0228,Nabil El Amrani,45-54,m,Mohammedia,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
15,C0261,Samira Mernissi,65+,f,Kénitra,Non renseignée,Gold,Email Marketing,2026-04-24,9999-12-31,True
16,C0495,Hassan Berrada,65+,m,Nador,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
17,C1431,Mohammed Fassi,65+,m,Tanger,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
18,C2365,Noura Mansouri,35-44,f,Fès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
19,C0832,Ilyas Bouzid,45-54,m,Tétouan,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
20,C2135,Khadija Squalli,35-44,f,Marrakech,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
